NEWID,COST,UCC,year,month,day
926551,3.49,120310,2008,8,18
926551,0.5,150110,2008,8,18
926551,0.91,170520,2008,8,18
926551,3.99,180611,2008,8,18
926551,12.91,320233,2008,8,18
926551,59.24,320233,2008,8,19
926551,8.62,320233,2008,8,19
926551,25.85,320233,2008,8,19
926551,15.06,380430,2008,8,18
926551,10.76,400310,2008,8,16
926551,17.23,410130,2008,8,20
926551,10.75,430120,2008,8,18
926551,10.0,540000,2008,8,20
926571,3.07249,10210,2008,9,18
926571,3.12967,10210,2008,9,21
926571,3.02314,10210,2008,9,22
926571,1.93888,10320,2008,9,23
926571,1.90838,20110,2008,9,21
926571,2.25267,20210,2008,9,23
926571,2.1324400000000003,20310,2008,9,21
926571,3.9954099999999997,20410,2008,9,22
926571,2.6470700000000003,20510,2008,9,18
926571,2.69634,20510,2008,9,21
926571,2.7634,20510,2008,9,23
926571,2.3725,20610,2008,9,21
926571,2.63128,20810,2008,9,21
926571,5.36412,30110,2008,9,18
926571,5.46396,30110,2008,9,21
926571,7.924930000000001,30610,2008,9,22
926571,3.3957599999999997,40110,2008,9,21
926571,5.5698300000000005,40210,2008,9,18
926571,3.1005700000000003,40510,2008,9,18
926571,2.51714,50110,2008,9,22
926571,3.38674,50310,2008,9,18
926571,5.28342,60210,2008,9,18
926571,4.747719999999999,60310,2008,9,18
926571,8.10387,70230,2008,9,18
926571,2.1831099999999997,80110,2008,9,21
926571,2.90225,90110,2008,9,18
926571,2.95626,90110,2008,9,21
926571,3.02979,90110,2008,9,23
926571,1.81128,90210,2008,9,21
926571,2.52878,100110,2008,9,18
926571,3.2197400000000003,100210,2008,9,18
926571,3.27966,100210,2008,9,21
926571,3.43379,100410,2008,9,21
926571,2.5162,100510,2008,9,21
926571,2.57878,100510,2008,9,23
926571,2.71328,110110,2008,9,21
926571,2.95705,110410,2008,9,21
926571,2.8564,110410,2008,9,22
926571,1.57813,120410,2008,9,18
926571,1.6075,120410,2008,9,21
926571,1.6474799999999998,120410,2008,9,23
926571,1.5527799999999998,120410,2008,9,22
926571,2.9024900000000002,130211,2008,9,18
926571,2.4144799999999997,130320,2008,9,18
926571,2.2425900000000003,140110,2008,9,21
