NEWID,COST,UCC,year,month,day
945081,31.8,4000,2009,1,3
945081,3.21299,10210,2008,12,30
945081,3.6224,10310,2008,12,30
945081,2.43566,20610,2008,12,30
945081,3.03497,90110,2008,12,30
945081,3.3669800000000003,100210,2008,12,30
945081,2.58319,100510,2008,12,30
945081,1.2038799999999998,110210,2008,12,30
945081,1.6503,120410,2008,12,30
945081,2.0356400000000003,130310,2008,12,30
945081,3.35399,180710,2008,12,30
945081,133.26896000000002,260110,2008,12,30
945081,131.73103999999998,260210,2008,12,30
945081,63.6,270000,2008,12,30
945081,71.02,270310,2008,12,30
945081,3.21234,320140,2008,12,30
945081,7.750839999999999,340110,2008,12,30
945081,15.0,470111,2009,1,5
945081,4.93682,550210,2008,12,30
945082,31.8,4000,2009,1,3
945082,3.9626300000000003,20410,2008,12,31
945082,2.8322,90110,2008,12,31
945082,3.2896900000000002,100410,2008,12,31
945082,1.12345,110210,2008,12,31
945082,1.5693,120210,2008,12,31
945082,1.5085600000000001,140230,2008,12,31
945082,2.48582,170210,2008,12,31
945082,4.44033,180210,2008,12,31
945082,2.1581,180520,2008,12,31
945082,3.1299099999999997,180710,2008,12,31
945091,1.08,4000,2008,11,16
945091,322.8,4000,2008,11,21
945091,8.07,20810,2008,11,22
945091,7.48,30710,2008,11,20
945091,0.89,40310,2008,11,20
945091,4.03,100210,2008,11,20
945091,4.03,100210,2008,11,20
945091,5.04,100210,2008,11,20
945091,3.03,110110,2008,11,22
945091,3.03,110110,2008,11,22
945091,1.6389099999999999,110410,2008,11,22
945091,1.38,110510,2008,11,22
945091,0.83109,110510,2008,11,22
945091,4.03,120110,2008,11,17
945091,13.12,120110,2008,11,17
945091,6.05,120310,2008,11,22
945091,2.83,120410,2008,11,17
945091,3.02,130121,2008,11,22
945091,4.53,130121,2008,11,22
945091,4.03,130121,2008,11,22
945091,3.03,130212,2008,11,17
945091,3.03,130212,2008,11,22
945091,3.42,130310,2008,11,22
945091,4.03,140230,2008,11,19
945091,3.02,140230,2008,11,20
945091,4.29,170110,2008,11,19
945091,4.29,170110,2008,11,19
945091,3.22,170210,2008,11,18
945091,3.22,170210,2008,11,18
945091,2.14,170532,2008,11,17
945091,2.14,170532,2008,11,22
945091,7.13,180110,2008,11,17
945091,2.04,180110,2008,11,17
945091,2.04,180110,2008,11,17
945091,2.23,180110,2008,11,17
945091,2.23,180110,2008,11,17
945091,2.23,180110,2008,11,17
945091,7.13,180110,2008,11,20
945091,6.11,180220,2008,11,22
945091,2.55,180310,2008,11,17
945091,2.55,180310,2008,11,17
945091,1.01,180410,2008,11,20
945091,2.23,180510,2008,11,17
945091,3.46,180510,2008,11,17
945091,5.09,180510,2008,11,19
945091,1.01,180510,2008,11,20
945091,2.2,180611,2008,11,17
945091,4.5,180710,2008,11,17
945091,3.46,180710,2008,11,17
945091,1.42,180710,2008,11,22
945091,1.42,180710,2008,11,22
945091,1.42,180710,2008,11,22
945091,6.85,190112,2008,11,19
945091,39.0,190212,2008,11,16
945091,48.25,190212,2008,11,21
945091,3.89,190311,2008,11,16
945091,3.89,190311,2008,11,17
945091,3.89,190311,2008,11,18
945091,3.89,190311,2008,11,19
945091,2.56,190311,2008,11,21
945091,3.47,190311,2008,11,21
945091,23.76,190322,2008,11,21
945091,29.53,190322,2008,11,22
945091,13.98,200111,2008,11,18
945091,5.0,200512,2008,11,16
945091,15.0,200532,2008,11,21
945091,11.62,260210,2008,11,17
945091,168.56,270000,2008,11,18
945091,101.74,270310,2008,11,17
945091,7.48,310210,2008,11,18
945091,19.37,310220,2008,11,21
945091,31.2,320521,2008,11,21
945091,21.51,320905,2008,11,17
945091,6.12,330310,2008,11,17
945091,3.54,330310,2008,11,17
945091,3.0,330510,2008,11,17
945091,129.12,360210,2008,11,21
945091,4.52,360312,2008,11,21
945091,5.06,360312,2008,11,21
945091,4.52,360312,2008,11,21
945091,12.9,360312,2008,11,21
945091,5.37,360330,2008,11,21
945091,20.44,360410,2008,11,21
945091,26.79,360513,2008,11,21
945091,20.13,380313,2008,11,21
945091,20.13,380313,2008,11,21
945091,68.85,400110,2008,11,21
945091,1097.52,430120,2008,11,21
945091,10.54,440210,2008,11,17
945091,63.91,440210,2008,11,17
945091,28.65,470111,2008,11,22
945091,3.54,470220,2008,11,16
945091,14.31,480213,2008,11,16
945091,80.98,480213,2008,11,19
945091,18.29,480213,2008,11,21
945091,5.37,480214,2008,11,17
945091,12.91,490000,2008,11,22
945091,10.76,520531,2008,11,16
945091,10.76,520531,2008,11,17
945091,12.21,550320,2008,11,16
945091,5.04,550320,2008,11,18
945091,21.52,560400,2008,11,16
945091,21.52,560400,2008,11,17
945091,48.42,560400,2008,11,18
945091,26.84,590210,2008,11,17
945091,45.19,610110,2008,11,22
945091,13.93,610110,2008,11,22
945091,14.27,610310,2008,11,22
945091,8.6,610320,2008,11,22
945091,4.72,640310,2008,11,17
945091,22.6,680903,2008,11,19
945101,3.1,90110,2008,11,4
945101,2.79,100210,2008,11,4
945101,5.39,100410,2008,11,4
945101,0.9192600000000001,130212,2008,11,4
945101,0.9707399999999999,140420,2008,11,4
945101,4.0,180110,2008,11,4
945101,2.11,330310,2008,11,4
945101,5.9,330310,2008,11,4
945101,1.36,640310,2008,11,4
945102,5.28,4000,2008,11,17
945102,2.19,90110,2008,11,14
945102,1.89,100210,2008,11,14
945102,3.99,100410,2008,11,14
945102,1.0,150110,2008,11,14
945102,2.79,180110,2008,11,14
945111,3.52,10210,2008,11,29
945111,6.73,10310,2008,12,4
945111,7.78,30110,2008,11,29
945111,3.53,30110,2008,12,4
945111,2.99,50110,2008,11,29
945111,1.57,60310,2008,11,29
945111,1.97,80110,2008,11,29
945111,3.1249,100210,2008,11,29
945111,3.99,100210,2008,11,29
945111,4.41,110110,2008,11,29
945111,1.1181299999999998,110210,2008,11,29
945111,0.95,110210,2008,12,3
945111,3.2,110410,2008,11,29
945111,1.99,120110,2008,11,29
945111,1.56187,120210,2008,11,29
945111,0.99,120410,2008,11,29
945111,1.97,130320,2008,12,3
945111,1.88,140210,2008,11,29
945111,2.4382200000000003,140210,2008,11,29
945111,2.28,140210,2008,12,3
945111,1.0,140230,2008,11,29
945111,1.04,140230,2008,11,29
945111,2.5617799999999997,140230,2008,11,29
945111,5.58,140340,2008,11,29
945111,10.0,140340,2008,12,3
945111,12.81,170510,2008,11,29
945111,5.36,180110,2008,11,29
945111,3.27,180220,2008,11,29
945111,3.47,180310,2008,11,29
945111,3.94,180310,2008,12,3
945111,2.59,180510,2008,11,29
945111,4.06,180520,2008,12,4
945111,1.79225,180612,2008,11,29
945111,3.52,180710,2008,11,29
945111,3.11285,180710,2008,11,29
945111,6.52,190111,2008,12,1
945111,18.1,190111,2008,12,2
945111,6.35,190111,2008,12,3
945111,3.99,190111,2008,12,3
945111,4.29,190211,2008,12,3
945111,6.27,190321,2008,12,1
945111,6.93,190321,2008,12,5
945111,13.10103,250220,2008,12,1
945111,1.93897,250900,2008,12,1
945111,37.23,270000,2008,12,4
945111,16.04,270000,2008,12,5
945111,85.59,320232,2008,12,5
945111,7.9,380313,2008,11,30
945111,23.76,380410,2008,12,3
945111,8.91,380420,2008,11,30
945111,24.97,380420,2008,11,30
945111,4.96,380420,2008,12,3
945111,1.74,380420,2008,12,3
945111,19.94,380430,2008,11,30
945111,12.9,380901,2008,11,30
945111,59.9,400310,2008,11,30
945111,59.9,400310,2008,11,30
945111,12.15,470111,2008,12,2
945111,9.63,520531,2008,12,1
945111,89.88,530311,2008,11,29
945111,10.0,540000,2008,11,30
945111,0.54,590110,2008,12,4
945111,8.51,640410,2008,11,30
945112,1.07,4100,2008,12,5
945112,1608.36,9000,2008,12,5
945112,2.44,10110,2008,12,2
945112,7.59,10310,2008,11,29
945112,3.19,20210,2008,11,29
945112,4.93294,20210,2008,12,2
945112,4.78581,20310,2008,12,2
945112,6.05135,20510,2008,12,2
945112,5.32457,20610,2008,12,2
945112,5.90533,20810,2008,12,2
945112,8.42,30110,2008,11,29
945112,6.92,50310,2008,12,4
945112,2.62,80110,2008,11,29
945112,2.69,90110,2008,11,29
945112,2.99,100210,2008,11,29
945112,5.21,100210,2008,11,29
945112,2.99,100210,2008,11,29
945112,2.99,100210,2008,11,29
945112,1.75,110210,2008,11,29
945112,6.51,120310,2008,11,29
945112,2.76,120410,2008,11,29
945112,1.5,120410,2008,11,29
945112,1.77,120410,2008,11,29
945112,0.66,120410,2008,11,29
945112,2.25,140110,2008,11,29
945112,2.25,140110,2008,11,29
945112,2.03,180110,2008,11,29
945112,5.25,180110,2008,12,2
945112,4.01,180220,2008,12,2
945112,4.27,180320,2008,12,4
945112,1.06,180410,2008,11,29
945112,2.12,180410,2008,12,2
945112,2.35,180410,2008,12,4
945112,2.41,180420,2008,12,4
945112,3.19,180710,2008,12,4
945112,1.7,180710,2008,12,4
945112,2.13,180710,2008,12,4
945112,4.41,190111,2008,12,1
945112,24.38,190112,2008,11,30
945112,10.68,190211,2008,12,5
945112,4.0,190321,2008,12,5
945112,9.49,240120,2008,11,29
945112,71.00516999999999,250220,2008,12,5
945112,10.50887,250900,2008,12,5
945112,101.02,260110,2008,12,5
945112,46.895959999999995,260110,2008,12,5
945112,109.14,260210,2008,12,2
945112,10.7,270000,2008,12,4
945112,64.38,270000,2008,12,5
945112,48.15,310220,2008,12,4
945112,21.39,320232,2008,12,5
945112,64.71,320380,2008,12,1
945112,130.45,380311,2008,12,1
945112,122.39,380901,2008,12,1
945112,71.98,380901,2008,12,1
945112,13.47,430120,2008,12,1
945112,33.68,430120,2008,12,1
945112,208.0,490211,2008,12,1
945112,112.82,500110,2008,12,2
945112,4.01,520531,2008,12,2
945112,9.63,520531,2008,12,5
945112,10.0,540000,2008,12,2
945112,21.4,560110,2008,12,2
945112,12.84,590210,2008,12,5
945112,144.45,620111,2008,12,5
945112,31.33091,640210,2008,12,5
945112,48.49171,640220,2008,12,5
945112,38.49,640310,2008,12,1
945112,58.85,640310,2008,12,5
945112,62.263709999999996,640310,2008,12,5
945112,32.91367,640410,2008,12,5
945121,1.4732100000000001,20110,2008,10,24
945121,1.6967900000000002,20210,2008,10,24
945121,2.12,20410,2008,10,24
945121,1.8,20610,2008,10,24
945121,3.98,70110,2008,10,24
945121,1.7,140230,2008,10,24
945121,2.65,180110,2008,10,24
945121,13.89,190211,2008,10,25
945121,29.86,190211,2008,10,26
945121,3.45,250210,2008,10,26
945121,26.5,310332,2008,10,23
945121,2.92,320610,2008,10,26
945121,4.77,330210,2008,10,23
945121,2.76,330310,2008,10,24
945121,2.12,330410,2008,10,23
945121,7.95,330510,2008,10,23
945121,19.08,380410,2008,10,24
945121,175.0,470111,2008,10,26
945121,3.71,610110,2008,10,23
945121,8.48,610110,2008,10,23
945131,4.27,20410,2008,11,10
945131,1.12,20610,2008,11,10
945131,0.96,20810,2008,11,10
945131,0.96,20810,2008,11,10
945131,2.76,90110,2008,11,10
945131,2.5,100110,2008,11,10
945131,2.5,100410,2008,11,10
945131,1.38,120410,2008,11,10
945131,0.57,120410,2008,11,10
945131,1.88,120410,2008,11,10
945131,2.99,130320,2008,11,7
945131,1.12,170532,2008,11,7
945131,3.75,180220,2008,11,10
945131,27.15,190112,2008,11,9
945131,9.55,190112,2008,11,11
945131,25.0,190212,2008,11,8
945131,7.35,190311,2008,11,8
945131,1.89,190311,2008,11,8
945131,1.99,190311,2008,11,8
945131,8.99,190321,2008,11,9
945131,3.98,190321,2008,11,9
945131,27.76,260210,2008,11,8
945131,2.36,330510,2008,11,10
945131,2.18,330510,2008,11,10
945131,14.4,380312,2008,11,9
945131,12.0,380313,2008,11,9
945131,9.0,380410,2008,11,9
945131,4.97,380430,2008,11,9
945131,15.0,380430,2008,11,9
945131,1.4,380901,2008,11,9
945131,12.0,390210,2008,11,9
945131,12.0,390210,2008,11,9
945131,12.0,390210,2008,11,9
945131,12.0,390210,2008,11,9
945131,18.0,390223,2008,11,9
945131,18.0,390223,2008,11,9
945131,18.0,390223,2008,11,9
945131,13.2,390310,2008,11,9
945131,1.4,390322,2008,11,9
945131,41.0,470111,2008,11,10
945131,2.5,480212,2008,11,10
945131,7.47,480213,2008,11,10
945131,100.0,620121,2008,11,6
945131,8.98,630110,2008,11,7
945132,315.0,9000,2008,11,10
945132,9.39,10120,2008,11,9
945132,6.99,10120,2008,11,9
945132,7.49,10120,2008,11,9
945132,3.39,20110,2008,11,9
945132,6.99,20510,2008,11,9
945132,10.89,100210,2008,11,9
945132,6.99,100210,2008,11,9
945132,5.95,150310,2008,11,9
945132,8.99,170531,2008,11,9
945132,6.75,180110,2008,11,9
945132,8.79,180210,2008,11,9
945132,8.79,180210,2008,11,9
945132,10.99,180710,2008,11,9
945132,1.25,190111,2008,11,9
945132,1.25,190111,2008,11,9
945132,1.0,190111,2008,11,9
945132,1.25,190111,2008,11,9
945132,22.49,190211,2008,11,8
945132,1.0,190211,2008,11,11
945132,1.0,190211,2008,11,11
945132,1.0,190211,2008,11,11
945132,1.59,190211,2008,11,11
945132,1.0,190211,2008,11,11
945132,0.3,190211,2008,11,11
945132,17.0,190212,2008,11,6
945132,4.0,190311,2008,11,8
945132,12.0,190312,2008,11,7
945132,0.75,190313,2008,11,8
945132,1.39,190321,2008,11,11
945132,1.39,190321,2008,11,11
945132,1.0,190321,2008,11,11
945132,9.0,200532,2008,11,6
945132,9.0,200532,2008,11,7
945132,9.95,270000,2008,11,10
945132,14.79,280120,2008,11,9
945132,19.99,320233,2008,11,9
945132,13.99,330310,2008,11,9
945132,34.966640000000005,380210,2008,11,9
945132,12.48,380312,2008,11,9
945132,28.8,380312,2008,11,9
945132,15.0,380313,2008,11,9
945132,17.49,380313,2008,11,9
945132,11.2,380333,2008,11,9
945132,9.6,380333,2008,11,9
945132,9.99,380410,2008,11,9
945132,5.82,380430,2008,11,9
945132,3.89336,380430,2008,11,9
945132,16.99,400220,2008,11,9
945132,5.2,430120,2008,11,9
945132,178.36,500110,2008,11,7
945132,2.5,620121,2008,11,8
945132,8.98,630110,2008,11,6
945132,33.95,640110,2008,11,9
945141,38.4,190322,2008,11,4
945141,300.0,260110,2008,11,3
945141,34.24,270000,2008,11,3
945141,20.0,470111,2008,10,31
945141,39.59,540000,2008,11,4
945142,2.67,20110,2008,11,9
945142,2.87,20310,2008,11,9
945142,24.31,30710,2008,11,9
945142,6.81,50310,2008,11,9
945142,3.08,80110,2008,11,9
945142,3.59,100110,2008,11,9
945142,3.07,110110,2008,11,9
945142,3.61,110310,2008,11,9
945142,4.75,110410,2008,11,9
945142,1.64,120110,2008,11,9
945142,4.11,120110,2008,11,9
945142,2.12,180510,2008,11,9
945142,35.0,470111,2008,11,10
945142,23.54,610310,2008,11,11
945151,3.18,10210,2009,1,4
945151,2.96,10320,2009,1,4
945151,5.23,20210,2009,1,4
945151,2.79,20310,2008,12,30
945151,1.5,20810,2009,1,4
945151,5.52605,30110,2009,1,4
945151,97.5,30410,2008,12,30
945151,8.57395,30710,2009,1,4
945151,3.02,80110,2009,1,4
945151,8.0,100410,2009,1,4
945151,2.50813,110410,2008,12,30
945151,2.49,110410,2009,1,4
945151,1.27187,110510,2008,12,30
945151,2.5,120310,2009,1,4
945151,1.5,120410,2009,1,4
945151,2.49,120410,2009,1,4
945151,1.05,120410,2009,1,4
945151,15.0,130211,2009,1,4
945151,4.78,130212,2008,12,30
945151,4.38,130212,2009,1,4
945151,4.1,130212,2009,1,4
945151,4.86383,130212,2009,1,4
945151,5.13617,140420,2009,1,4
945151,2.0,170110,2008,12,30
945151,2.0,170110,2008,12,30
945151,2.0,170110,2008,12,30
945151,2.0,170210,2008,12,30
945151,2.0,170210,2008,12,30
945151,2.12,170210,2009,1,4
945151,4.24,170533,2009,1,4
945151,12.72,180220,2008,12,30
945151,4.23,180310,2008,12,30
945151,10.23,180310,2009,1,4
945151,1.05,180410,2008,12,30
945151,4.9,180410,2009,1,4
945151,2.96,180420,2009,1,4
945151,2.96,180420,2009,1,4
945151,1.06,180510,2009,1,4
945151,4.24,180612,2009,1,4
945151,92.54,190211,2008,12,31
945151,22.0,190211,2009,1,4
945151,1.0,190321,2009,1,4
945151,0.75,190321,2009,1,4
945151,0.25,190321,2009,1,4
945151,26.49,200410,2008,12,30
945151,27.55,200410,2008,12,30
945151,16.58142,320340,2008,12,30
945151,4.60858,320360,2008,12,30
945151,16.42,330110,2009,1,4
945151,12.12,330110,2009,1,4
945151,6.93,330210,2009,1,3
945151,8.47,330210,2009,1,3
945151,5.3,330310,2009,1,4
945151,10.37,330510,2009,1,4
945151,5.39,550210,2009,1,4
945151,4.59,550310,2009,1,4
945151,31.99,550320,2009,1,4
945151,18.07,550410,2009,1,3
945151,3.17,640110,2009,1,3
945151,3.17,640210,2009,1,3
945151,6.35,640210,2009,1,3
945151,5.29,640310,2009,1,3
945151,7.09,640310,2009,1,4
945152,5.25,10110,2009,1,7
945152,5.3,10210,2009,1,7
945152,1.07,110210,2009,1,7
945152,5.0,110410,2009,1,7
945152,3.99,120110,2009,1,7
945152,1.7,120410,2009,1,7
945152,2.0,140110,2009,1,7
945152,2.0,140110,2009,1,7
945152,2.75,150211,2009,1,7
945152,1.06,180310,2009,1,7
945152,4.0,190111,2009,1,7
945152,3.0,190111,2009,1,7
945152,60.0,190211,2009,1,11
945152,2.22,330210,2009,1,11
945152,3.7,330310,2009,1,11
945152,1.84,330310,2009,1,11
945152,17.0,470111,2009,1,12
945152,5.0,550210,2009,1,11
945161,4.86,10110,2008,12,1
945161,10.0,10210,2008,12,1
945161,3.0,20110,2008,12,1
945161,4.0,20310,2008,12,1
945161,3.09,20510,2008,12,1
945161,4.39,30110,2008,12,1
