NEWID,COST,UCC,year,month,day
1001811,430.36,9000,2009,7,29
1001811,10.3,30110,2009,8,3
1001811,4.13385,30210,2009,8,3
1001811,5.20031,30310,2009,8,3
1001811,5.08584,30410,2009,8,3
1001811,5.04975,30510,2009,8,3
1001811,8.82858,30610,2009,8,3
1001811,8.78168,30710,2009,8,3
1001811,6.18,50110,2009,8,3
1001811,2.0,190112,2009,7,29
1001811,2.0,190112,2009,7,30
1001811,2.0,190112,2009,7,31
1001811,2.0,190112,2009,8,1
1001811,2.0,190112,2009,8,2
1001811,2.0,190112,2009,8,3
1001811,2.0,190112,2009,8,4
1001811,135.0,260110,2009,7,29
1001811,20.0,470111,2009,7,30
1001811,20.0,470111,2009,8,2
1001811,200.34,500110,2009,7,29
1001812,2.5,190112,2009,8,6
1001812,3.08,190112,2009,8,8
1001812,3.0,190112,2009,8,10
1001812,3.0,190112,2009,8,11
1001812,3.08,190112,2009,8,12
1001812,103.85,240110,2009,8,12
1001812,35.0,470111,2009,8,6
1001812,50.0,470111,2009,8,11
1001821,4.62,30110,2009,7,19
1001821,7.27,30810,2009,7,19
1001821,8.03,60210,2009,7,19
1001821,2.89,60310,2009,7,19
1001821,3.29,80110,2009,7,19
1001821,2.5,120410,2009,7,19
1001821,2.67,120410,2009,7,19
1001821,2.49,120410,2009,7,19
1001821,0.99,150211,2009,7,19
1001821,100.0,260110,2009,7,22
1001821,16.83,470111,2009,7,18
1001821,11.0,470111,2009,7,19
1001821,10.0,470111,2009,7,20
1001821,15.0,470111,2009,7,21
1001821,15.0,470111,2009,7,23
1001822,10.83,4000,2009,7,27
1001822,10.0,470111,2009,7,28
1001831,2.05,10210,2009,8,31
1001831,2.58,10210,2009,8,31
1001831,0.6615,20110,2009,8,25
1001831,2.4329099999999997,20110,2009,8,28
1001831,0.8285,20210,2009,8,25
1001831,3.0470900000000003,20210,2009,8,28
1001831,1.49,20310,2009,8,25
1001831,4.18,20310,2009,8,28
1001831,13.54,40410,2009,8,31
1001831,4.99,50310,2009,8,31
1001831,4.21,60210,2009,8,25
1001831,4.37,60210,2009,8,31
1001831,4.29,60310,2009,8,31
1001831,1.99,80110,2009,8,31
1001831,2.98,90110,2009,8,28
1001831,2.99,100210,2009,8,31
1001831,3.29,100210,2009,8,31
1001831,3.99,100410,2009,8,25
1001831,3.99,100410,2009,8,31
1001831,2.99,100510,2009,8,31
1001831,1.04,110210,2009,8,31
1001831,1.98,110410,2009,8,25
1001831,0.75,110510,2009,8,31
1001831,2.04,120110,2009,8,31
1001831,2.39,130212,2009,8,31
1001831,1.52,150110,2009,8,29
1001831,1.97,170110,2009,8,31
1001831,2.38,170531,2009,8,28
1001831,12.25,180210,2009,8,28
1001831,2.58,180310,2009,8,31
1001831,3.25,180510,2009,8,25
1001831,2.49,180510,2009,8,31
1001831,2.16,180510,2009,8,31
1001831,2.38,180510,2009,8,31
1001831,3.79,180710,2009,8,31
1001831,3.79,180710,2009,8,31
1001831,3.79,180710,2009,8,31
1001831,5.5,190111,2009,8,29
1001831,5.0,190111,2009,8,31
1001831,1.5,190113,2009,8,26
1001831,6.48,190114,2009,8,25
1001831,4.32,190114,2009,8,27
1001831,1.62,190114,2009,8,27
1001831,3.23,190114,2009,8,28
1001831,19.27,190211,2009,8,27
1001831,28.0,190211,2009,8,28
1001831,10.0,190212,2009,8,29
1001831,0.85,190311,2009,8,25
1001831,8.185789999999999,190311,2009,8,29
1001831,4.32,190324,2009,8,26
1001831,21.71,200111,2009,8,28
1001831,19.81,200511,2009,8,29
1001831,39.1,200512,2009,8,28
1001831,62.20434,270000,2009,8,31
1001831,51.595659999999995,270210,2009,8,31
