NEWID,COST,UCC,year,month,day
1228631,1.59369,20110,2011,8,9
1228631,4.03,20210,2011,8,9
1228631,1.3663100000000001,20210,2011,8,9
1228631,5.9344,60110,2011,8,9
1228631,4.9556,60210,2011,8,9
1228631,1.63,110210,2011,8,9
1228631,1.91,150110,2011,8,9
1228631,5.9,160320,2011,8,9
1228631,10.94697,170110,2011,8,9
1228631,11.35303,170210,2011,8,9
1228631,3.58,180110,2011,8,9
1228631,7.9,190111,2011,8,4
1228631,12.0,190111,2011,8,6
1228631,16.40062,470111,2011,8,8
1228631,93.90545999999999,470112,2011,8,8
1228631,166.62448999999998,480110,2011,8,8
1228631,36.49921,480213,2011,8,8
1228631,67.54753000000001,490000,2011,8,8
1228631,251.60107000000002,490232,2011,8,8
1228631,89.28564,490312,2011,8,8
1228631,84.6002,520110,2011,8,8
1228631,24.39657,520531,2011,8,8
1228631,207.66373000000002,530110,2011,8,8
1228631,16.92547,530412,2011,8,8
1228631,11.48,630110,2011,8,6
1228631,11.48,630110,2011,8,9
1228631,85.18,690110,2011,8,3
1228631,7.44,690120,2011,8,3
1228632,1.59369,20110,2011,8,6
1228632,4.03,20210,2011,8,6
1228632,1.3663100000000001,20210,2011,8,6
1228632,5.9344,60110,2011,8,6
1228632,4.9556,60210,2011,8,6
1228632,1.82,110210,2011,8,6
1228632,2.82,140110,2011,8,6
1228632,5.3,140420,2011,8,6
1228632,1.5561399999999999,170110,2011,8,6
1228632,9.38101,170110,2011,8,6
1228632,1.61386,170210,2011,8,6
1228632,9.72899,170210,2011,8,6
1228632,3.58,180110,2011,8,6
1228632,40.76,470111,2011,8,4
1228632,11.91,630110,2011,8,5
1228632,11.48,630110,2011,8,8
1228642,1.01759,20110,2011,7,21
1228642,0.87241,20210,2011,7,21
1228642,2.45,20610,2011,7,21
1228642,1.19,80110,2011,7,21
1228642,1.19,120210,2011,7,21
1228642,2.99,120310,2011,7,21
1228642,1.62964,130212,2011,7,21
1228642,2.16036,140420,2011,7,21
1228642,2.99,160110,2011,7,21
1228642,15.0,180210,2011,7,21
1228642,2.05,330110,2011,7,21
1228642,3.46,330310,2011,7,21
1228662,4.99,10210,2011,7,16
1228662,1.5,10320,2011,7,16
1228662,2.99,20210,2011,7,16
1228662,1.9,20310,2011,7,16
1228662,2.19,20510,2011,7,16
1228662,2.5,20820,2011,7,16
1228662,2.1,70110,2011,7,16
1228662,2.98,90110,2011,7,16
1228662,1.34,110210,2011,7,16
1228662,1.29,120410,2011,7,16
1228662,2.79,130211,2011,7,16
1228662,1.67,150310,2011,7,16
1228662,2.49,160310,2011,7,16
1228662,3.93,170110,2011,7,16
1228662,3.45466,170310,2011,7,16
1228662,3.43534,170410,2011,7,16
1228662,3.17,180611,2011,7,16
1228662,3.0,180611,2011,7,16
1228662,14.0,190211,2011,7,14
1228662,36.0,470111,2011,7,17
1228671,6.3964300000000005,110210,2011,7,24
1228671,5.711180000000001,110410,2011,7,24
1228671,8.98573,120110,2011,7,24
1228671,3.90666,120410,2011,7,24
1228671,53.5,320232,2011,7,26
1228671,50.0,470111,2011,7,24
1228671,25.0,610310,2011,7,24
1228672,8.2392,30510,2011,8,8
1228672,8.438239999999999,30610,2011,8,8
1228672,8.322569999999999,30710,2011,8,8
1228672,636.65,210110,2011,8,8
1228672,260.01,260110,2011,8,8
1228672,50.0,470111,2011,8,8
1228672,267.5,500110,2011,8,8
1228681,10.38598,110310,2011,7,27
1228681,6.07402,110410,2011,7,27
1228681,7.081580000000001,120210,2011,7,27
1228681,3.3284199999999995,120410,2011,7,27
1228681,3.21,160212,2011,7,27
1228681,3.73,160212,2011,7,27
1228681,7.23,180110,2011,7,27
1228681,3.2,180320,2011,7,27
1228681,26.96,340110,2011,7,29
1228681,20.0,470111,2011,7,27
1228681,98.0,470111,2011,7,28
1228681,69.0,470111,2011,8,1
1228682,3.41,10210,2011,8,9
1228682,4.27,10320,2011,8,3
1228682,1.59,20310,2011,8,9
1228682,4.27,40110,2011,8,9
1228682,10.05,40210,2011,8,9
1228682,2.12,50110,2011,8,9
1228682,8.87,60110,2011,8,5
1228682,7.06,60210,2011,8,3
1228682,14.42,60210,2011,8,5
1228682,3.31,90110,2011,8,7
1228682,1.8923599999999998,90110,2011,8,9
1228682,9.39,100410,2011,8,5
1228682,1.82,110210,2011,8,9
1228682,3.21,110410,2011,8,3
1228682,3.4148300000000003,110410,2011,8,5
1228682,2.38,110410,2011,8,9
1228682,2.68,110410,2011,8,9
1228682,5.12517,110510,2011,8,5
1228682,12.84,120210,2011,8,3
1228682,6.42,120310,2011,8,3
1228682,3.09764,120310,2011,8,9
1228682,2.68,120410,2011,8,3
1228682,2.14,130310,2011,8,9
1228682,4.04,150310,2011,8,9
1228682,8.03,150310,2011,8,9
1228682,5.35,160212,2011,8,3
1228682,2.53,180110,2011,8,9
1228682,6.3,180210,2011,8,3
1228682,10.68,180220,2011,8,5
1228682,9.61,180310,2011,8,3
1228682,6.4,180320,2011,8,3
1228682,6.59,180520,2011,8,3
1228682,5.54,180611,2011,8,5
1228682,8.14,180710,2011,8,3
1228682,2.95,180710,2011,8,9
1228682,15.0,190111,2011,8,6
1228682,13.5,190212,2011,8,9
1228682,6.27,190311,2011,8,9
1228682,10.7,310220,2011,8,3
1228682,2.76,320233,2011,8,3
1228682,6.14769,330110,2011,8,3
1228682,23.45,330210,2011,8,3
1228682,17.46,330210,2011,8,3
1228682,18.17,330310,2011,8,3
1228682,5.2828800000000005,330310,2011,8,3
1228682,104.86,330510,2011,8,8
1228682,74.9,340410,2011,8,3
1228682,72.01,470111,2011,8,4
1228682,40.5,470111,2011,8,9
1228682,84.83,470111,2011,8,9
1228682,9.69,590210,2011,8,5
1228682,33.89942,620111,2011,8,3
1228682,19.35,640310,2011,8,3
1228682,7.6,660000,2011,8,3
1228682,7.96,660000,2011,8,5
1228691,3.99,10210,2011,7,16
1228691,0.5330199999999999,20110,2011,7,16
1228691,0.45698,20210,2011,7,16
1228691,1.9563400000000002,60110,2011,7,16
1228691,1.6336600000000001,60210,2011,7,16
1228691,3.99,70240,2011,7,16
1228691,3.99,70240,2011,7,16
1228691,3.19,90110,2011,7,16
1228691,1.65,110210,2011,7,17
1228691,2.59,110410,2011,7,16
1228691,1.25,110410,2011,7,16
1228691,1.25,110410,2011,7,16
1228691,0.39586,110410,2011,7,16
1228691,0.59414,110510,2011,7,16
1228691,0.89,120310,2011,7,16
1228691,2.0,130212,2011,7,17
1228691,2.0,130212,2011,7,17
1228691,0.5,140110,2011,7,16
1228691,0.5,140230,2011,7,16
1228691,1.22,150310,2011,7,16
1228691,2.19,170532,2011,7,22
1228691,1.5,180110,2011,7,16
1228691,1.0,180220,2011,7,16
1228691,1.88,180310,2011,7,16
1228691,0.7,180611,2011,7,16
1228691,2.99,180710,2011,7,16
1228691,2.99,180710,2011,7,16
1228691,2.99,180710,2011,7,16
1228691,0.99,180710,2011,7,16
1228691,6.75,190111,2011,7,19
1228691,7.38,190111,2011,7,21
1228691,4.82956,190111,2011,7,22
1228691,3.86044,190321,2011,7,22
1228691,56.98,470111,2011,7,21
1228692,2.99,10210,2011,7,28
1228692,1.07682,20110,2011,7,28
1228692,0.9231799999999999,20210,2011,7,28
1228692,5.449409999999999,60110,2011,7,25
1228692,4.550590000000001,60210,2011,7,25
1228692,2.0,80110,2011,7,28
1228692,3.19,90110,2011,7,28
1228692,2.99,100410,2011,7,30
1228692,3.16,110110,2011,7,30
1228692,2.0,110210,2011,7,25
1228692,2.43,110310,2011,7,28
1228692,1.19959,110410,2011,7,28
1228692,2.0,110410,2011,7,28
1228692,2.0,110410,2011,7,30
1228692,2.11,110410,2011,7,30
1228692,1.8004099999999998,110510,2011,7,28
1228692,2.0,120210,2011,7,25
1228692,1.67,120410,2011,7,25
1228692,1.0,120410,2011,7,25
1228692,2.14,120410,2011,7,30
1228692,3.17,120410,2011,7,30
1228692,1.97,120410,2011,7,30
1228692,4.0,130211,2011,7,24
1228692,4.0,130310,2011,7,28
1228692,1.37,140230,2011,7,25
1228692,2.0,140230,2011,7,25
1228692,2.67,140230,2011,7,30
1228692,1.99,140230,2011,7,30
1228692,11.81,170110,2011,7,24
