NEWID,COST,year,month,day,category
1071891,3.09857,2010,5,9,2.0
1071891,2.38117,2010,5,9,2.0
1071891,3.6833400000000003,2010,5,9,2.0
1071891,4.3590800000000005,2010,5,9,2.0
1071891,4.639530000000001,2010,5,9,2.0
1071891,4.88788,2010,5,9,2.0
1071891,3.83796,2010,5,9,2.0
1071891,5.17891,2010,5,9,2.0
1071891,2.16478,2010,5,9,2.0
1071891,4.18612,2010,5,9,2.0
1071891,2.54585,2010,5,9,2.0
1071891,3.6726900000000002,2010,5,9,2.0
1071891,3.99517,2010,5,9,2.0
1071891,3.86265,2010,5,9,2.0
1071891,1.73734,2010,5,9,2.0
1071891,4.6637900000000005,2010,5,9,2.0
1071891,3.88266,2010,5,9,2.0
1071891,2.8427599999999997,2010,5,9,2.0
1071891,2.38207,2010,5,9,2.0
1071891,4.409330000000001,2010,5,9,2.0
1071891,5.15419,2010,5,9,2.0
1071891,3.52661,2010,5,9,2.0
1071891,3.9173400000000003,2010,5,9,2.0
1071891,2.49483,2010,5,9,2.0
1071891,3.06041,2010,5,9,2.0
1071891,4.47049,2010,5,9,2.0
1071891,4.96444,2010,5,9,2.0
1071891,40.0,2010,5,9,2.0
1071891,2.0,2010,5,10,2.0
1071891,2.0,2010,5,11,2.0
1071891,2.0,2010,5,12,2.0
1071891,2.0,2010,5,13,2.0
1071891,2.0,2010,5,14,2.0
1071891,81.91258,2010,5,9,3.0
1071891,68.08742,2010,5,9,3.0
1071891,60.0,2010,5,9,1.0
1071892,2.9015299999999997,2010,5,9,2.0
1071892,4.03276,2010,5,9,2.0
1071892,2.22975,2010,5,9,2.0
1071892,3.4491099999999997,2010,5,9,2.0
1071892,4.91622,2010,5,9,2.0
1071892,3.5939099999999997,2010,5,9,2.0
1071892,4.8495800000000004,2010,5,9,2.0
1071892,5.01595,2010,5,9,2.0
1071892,2.95972,2010,5,9,2.0
1071892,2.02712,2010,5,9,2.0
1071892,2.3839599999999996,2010,5,9,2.0
1071892,3.43915,2010,5,9,2.0
1071892,3.7411199999999996,2010,5,9,2.0
1071892,3.91276,2010,5,9,2.0
1071892,2.61456,2010,5,9,2.0
1071892,3.61703,2010,5,9,2.0
1071892,1.62687,2010,5,9,2.0
1071892,3.48351,2010,5,9,2.0
1071892,3.10288,2010,5,9,2.0
1071892,4.05505,2010,5,9,2.0
1071892,4.242319999999999,2010,5,9,2.0
1071892,3.98144,2010,5,9,2.0
1071892,4.86637,2010,5,9,2.0
1071892,4.49282,2010,5,9,2.0
1071892,3.68836,2010,5,9,2.0
1071892,4.60799,2010,5,9,2.0
1071892,3.3023599999999997,2010,5,9,2.0
1071892,2.8658,2010,5,9,2.0
1071892,40.0,2010,5,9,2.0
1071892,2.0,2010,5,10,2.0
1071892,2.0,2010,5,11,2.0
1071892,2.0,2010,5,12,2.0
1071892,2.0,2010,5,13,2.0
1071892,2.0,2010,5,14,2.0
1071892,60.0,2010,5,9,1.0
1071901,91.88,2010,4,18,8.0
1071901,26.25,2010,4,21,8.0
1071901,105.0,2010,4,22,8.0
1071901,42.11,2010,4,24,0.0
1071901,0.64649,2010,4,19,2.0
1071901,0.67351,2010,4,19,2.0
1071901,3.24,2010,4,18,2.0
1071901,3.65,2010,4,19,2.0
1071901,2.91,2010,4,18,2.0
1071901,1.53,2010,4,21,2.0
1071901,4.09,2010,4,19,2.0
1071901,3.06,2010,4,19,2.0
1071901,5.13,2010,4,21,2.0
1071901,2.34,2010,4,21,2.0
1071901,0.5,2010,4,18,2.0
1071901,0.36,2010,4,24,2.0
1071901,2.56,2010,4,24,2.0
1071901,0.48683000000000004,2010,4,24,2.0
1071901,0.5431699999999999,2010,4,24,2.0
1071901,0.51,2010,4,24,2.0
1071901,1.03,2010,4,21,2.0
1071901,2.43,2010,4,24,2.0
1071901,1.03,2010,4,24,2.0
1071901,1.53,2010,4,24,2.0
1071901,2.75,2010,4,18,2.0
1071901,2.4,2010,4,18,2.0
1071901,7.13,2010,4,21,2.0
1071901,3.41,2010,4,21,2.0
1071901,2.56,2010,4,21,2.0
1071901,3.68,2010,4,21,2.0
1071901,2.1,2010,4,21,2.0
1071901,7.58,2010,4,24,2.0
1071901,2.77522,2010,4,22,2.0
1071901,35.0,2010,4,20,2.0
1071901,26.0,2010,4,21,2.0
1071901,21.0,2010,4,22,2.0
1071901,6.31957,2010,4,22,2.0
1071901,4.530069999999999,2010,4,22,2.0
1071901,3.4091,2010,4,22,2.0
1071901,4.48935,2010,4,22,2.0
1071901,42.0,2010,4,22,2.0
1071901,13.77,2010,4,23,2.0
