NEWID,COST,year,month,day,category
1166231,1.88,2011,1,26,2.0
1166231,1.87,2011,1,27,2.0
1166231,2.5,2011,1,26,2.0
1166231,2.5027,2011,2,1,2.0
1166231,1.97,2011,1,26,2.0
1166231,1.72,2011,1,31,2.0
1166231,2.38,2011,1,26,2.0
1166231,2.0,2011,1,30,2.0
1166231,1.56,2011,1,27,2.0
1166231,2.1,2011,1,26,2.0
1166231,2.51,2011,1,30,2.0
1166231,1.64,2011,1,26,2.0
1166231,1.5,2011,1,28,2.0
1166231,0.94,2011,1,30,2.0
1166231,2.4773,2011,2,1,2.0
1166231,0.53,2011,1,26,2.0
1166231,1.18,2011,1,27,2.0
1166231,1.09,2011,1,30,2.0
1166231,0.42,2011,1,30,2.0
1166231,1.88,2011,1,31,2.0
1166231,0.82,2011,2,1,2.0
1166231,0.82,2011,2,1,2.0
1166231,1.34,2011,1,26,2.0
1166231,1.84,2011,1,27,2.0
1166231,1.68,2011,1,30,2.0
1166231,1.53017,2011,1,31,2.0
1166231,1.44983,2011,1,31,2.0
1166231,0.8,2011,1,30,2.0
1166231,2.34,2011,2,1,2.0
1166231,2.28,2011,2,1,2.0
1166231,1.08,2011,2,1,2.0
1166231,1.46,2011,1,28,2.0
1166231,0.99,2011,1,30,2.0
1166231,3.12,2011,1,31,2.0
1166231,8.0,2011,1,30,2.0
1166231,5.48,2011,1,26,2.0
1166231,5.5,2011,1,27,2.0
1166231,3.9,2011,1,28,2.0
1166231,7.5,2011,1,29,2.0
1166231,5.0,2011,1,31,2.0
1166231,5.0,2011,2,1,2.0
1166231,4.86,2011,1,26,2.0
1166231,5.38,2011,1,27,2.0
1166231,5.38,2011,1,30,2.0
1166231,2.58,2011,1,28,7.0
1166231,4.84,2011,1,30,7.0
1166231,1.59,2011,1,30,7.0
1166231,8.05,2011,1,28,7.0
1166231,14.95,2011,1,27,1.0
1166231,9.55,2011,2,1,1.0
1166231,2.66,2011,1,30,5.0
1166231,0.52,2011,1,31,5.0
1166231,0.75,2011,1,26,8.0
1166231,4.07,2011,1,31,7.0
1166232,1.04,2011,2,9,2.0
1166232,0.47498999999999997,2011,2,4,2.0
1166232,0.41501000000000005,2011,2,4,2.0
1166232,2.08,2011,2,5,2.0
1166232,0.97,2011,2,4,2.0
1166232,3.26,2011,2,9,2.0
1166232,1.88,2011,2,5,2.0
1166232,2.31187,2011,2,9,2.0
1166232,1.02,2011,2,5,2.0
1166232,2.29,2011,2,4,2.0
1166232,2.29,2011,2,7,2.0
1166232,1.77,2011,2,6,2.0
1166232,0.74,2011,2,9,2.0
1166232,0.55,2011,2,9,2.0
1166232,2.65813,2011,2,9,2.0
1166232,0.98,2011,2,9,2.0
