NEWID,COST,year,month,day,category
982561,1.07,2009,5,25,2.0
982561,2.14,2009,5,25,2.0
982561,1.7,2009,5,25,2.0
982561,0.94,2009,5,25,2.0
982561,3.21,2009,5,25,2.0
982561,1.42425,2009,5,25,2.0
982561,0.71575,2009,5,25,2.0
982561,2.28,2009,5,25,2.0
982561,1.07,2009,5,25,2.0
982561,4.82756,2009,5,22,2.0
982561,4.79244,2009,5,22,2.0
982561,2.17176,2009,5,22,2.0
982561,1.06,2009,5,25,2.0
982561,2.2669099999999998,2009,5,22,2.0
982561,5.34,2009,5,22,2.0
982561,3.04133,2009,5,22,2.0
982561,7.48,2009,5,22,2.0
982561,8.92,2009,5,25,2.0
982561,21.63,2009,5,22,2.0
982561,28.22,2009,5,26,2.0
982561,2.25,2009,5,23,2.0
982561,5.5,2009,5,26,2.0
982561,2.45,2009,5,25,0.0
982561,4.27,2009,5,25,7.0
982561,2.7974900000000003,2009,5,26,7.0
982561,2.7974900000000003,2009,5,26,7.0
982561,2.02251,2009,5,26,7.0
982561,2.02251,2009,5,26,7.0
982561,4.27,2009,5,26,7.0
982561,4.27,2009,5,26,7.0
982561,42.8,2009,5,28,1.0
982561,12.08,2009,5,25,1.0
982561,21.4,2009,5,25,5.0
982561,15.5,2009,5,25,8.0
982561,31.03,2009,5,26,8.0
982561,235.4,2009,5,22,5.0
982561,3.46286,2009,5,24,7.0
982561,3.46286,2009,5,24,7.0
982561,4.85059,2009,5,24,7.0
982561,1.8771400000000003,2009,5,24,7.0
982561,1.8771400000000003,2009,5,24,7.0
982561,2.62941,2009,5,24,7.0
982562,10.7,2009,5,22,8.0
982562,40.66,2009,5,27,8.0
982562,1.61,2009,5,28,2.0
982562,5.35,2009,5,28,2.0
982562,4.52,2009,5,28,2.0
982562,13.25,2009,5,28,2.0
982562,7.68,2009,5,28,2.0
982562,2.45,2009,5,28,2.0
982562,1.7,2009,5,28,2.0
982562,2.14,2009,5,28,2.0
982562,2.14,2009,5,28,2.0
982562,1.07,2009,5,28,2.0
982562,3.21,2009,5,28,2.0
982562,2.39,2009,5,28,2.0
982562,3.08,2009,5,28,2.0
982562,1.92,2009,5,28,2.0
982562,2.13,2009,5,28,2.0
982562,6.41,2009,5,28,2.0
982562,8.56,2009,5,28,2.0
982562,3.2,2009,5,28,2.0
982562,2.68,2009,5,28,2.0
982562,12.38,2009,5,26,2.0
982562,6.0,2009,5,26,2.0
982562,2.23,2009,5,22,2.0
982562,7.38,2009,5,26,2.0
982562,118.99,2009,5,25,3.0
982562,77.04,2009,5,25,3.0
982562,13.9,2009,5,22,7.0
982562,2.13,2009,5,22,7.0
982562,1.06,2009,5,22,7.0
982562,4.27,2009,5,22,7.0
982562,6.41,2009,5,26,7.0
982562,38.51,2009,5,24,7.0
982562,37.45,2009,5,25,1.0
982562,6.41,2009,5,22,8.0
982562,6.41,2009,5,22,7.0
982571,4.25,2009,5,12,2.0
982571,2.5,2009,5,9,2.0
982571,2.49,2009,5,13,2.0
982571,1.09,2009,5,11,2.0
982571,5.29,2009,5,9,2.0
982571,1.89,2009,5,13,2.0
982571,5.0,2009,5,11,2.0
982571,3.21469,2009,5,13,2.0
982571,4.67531,2009,5,13,2.0
982571,6.49,2009,5,13,2.0
982571,3.98,2009,5,12,2.0
982571,3.99,2009,5,13,2.0
982571,3.89,2009,5,11,2.0
982571,3.27,2009,5,13,2.0
982571,5.99,2009,5,13,2.0
982571,2.89,2009,5,9,2.0
982571,2.89,2009,5,9,2.0
982571,3.98,2009,5,9,2.0
982571,4.98,2009,5,11,2.0
982571,3.89,2009,5,13,2.0
982571,2.68,2009,5,13,2.0
982571,0.89,2009,5,13,2.0
982571,1.89,2009,5,15,2.0
982571,3.5,2009,5,15,2.0
982571,1.09,2009,5,11,2.0
982571,0.99,2009,5,11,2.0
982571,1.09,2009,5,12,2.0
982571,1.09,2009,5,13,2.0
982571,0.89,2009,5,13,2.0
982571,2.0,2009,5,13,2.0
