NEWID,COST,year,month,day,category
1020902,374.5,2009,12,29,5.0
1020902,80.25,2010,1,1,4.0
1020902,107.0,2009,12,28,8.0
1020902,1938.87,2010,1,1,0.0
1020902,0.52,2009,12,30,2.0
1020902,3.49,2009,12,30,2.0
1020902,4.83,2009,12,30,2.0
1020902,17.951420000000002,2009,12,30,2.0
1020902,9.94858,2009,12,30,2.0
1020902,91.01,2009,12,31,2.0
1020902,77.25,2009,12,31,2.0
1020902,33.03,2009,12,31,2.0
1020902,2.32,2009,12,30,2.0
1020902,2.05,2009,12,27,2.0
1020902,4.1,2009,12,30,2.0
1020902,6.68,2009,12,30,2.0
1020902,3.7,2009,12,31,2.0
1020902,0.52,2009,12,31,2.0
1020902,0.68,2009,12,31,2.0
1020902,2.46,2009,12,30,2.0
1020902,2.05,2009,12,30,2.0
1020902,3.09,2009,12,31,2.0
1020902,6.21,2009,12,30,2.0
1020902,4.27,2009,12,30,2.0
1020902,3.52,2009,12,30,2.0
1020902,103.84,2009,12,31,2.0
1020902,98.02601,2009,12,31,2.0
1020902,140.09399,2009,12,31,2.0
1020902,27.0,2009,12,31,2.0
1020902,347.75,2010,1,1,0.0
1020902,112.35,2010,1,1,0.0
1020902,85.82,2009,12,26,7.0
1020902,438.7,2009,12,28,7.0
1020902,4.25,2009,12,31,7.0
1020902,8.37,2010,1,1,7.0
1020902,2.1,2010,1,1,7.0
1020902,5.04,2009,12,31,7.0
1020902,7.47,2009,12,27,7.0
1020902,1.57,2009,12,31,7.0
1020902,10.7,2009,12,29,7.0
1020902,24.46,2009,12,31,1.0
1020902,22.47,2009,12,29,5.0
1020902,181.9,2009,12,30,5.0
1020902,6.42,2009,12,31,5.0
1020902,24.05,2009,12,31,5.0
1020902,10.66,2009,12,31,5.0
1020902,10.5,2009,12,31,5.0
1020902,7.31,2009,12,31,5.0
1020902,10.89,2009,12,31,5.0
1020902,1.5,2009,12,27,8.0
1020902,52.0,2009,12,31,8.0
1020902,5.85,2009,12,31,7.0
1020902,2.12,2009,12,31,7.0
1020902,19.48,2009,12,31,7.0
1020902,48.57079,2009,12,26,7.0
1020902,26.329209999999996,2009,12,26,7.0
1020911,12.0,2009,10,20,2.0
1020911,5.2721800000000005,2009,10,20,2.0
1020911,3.3127800000000005,2009,10,20,2.0
1020911,4.49333,2009,10,24,2.0
1020911,2.77548,2009,10,20,2.0
1020911,2.38247,2009,10,24,2.0
1020911,3.63956,2009,10,20,2.0
1020911,3.1242,2009,10,24,2.0
